PW Level,SW,SW,SW,SW
1,67
3,44
4,33,34,45,50
5,55
6,33
7,13,30
11,1,33
16,40
19,63
23,42
28,10
30,48,40
43,67
45,59
46,35
48,26
50,13,68
51,67
52,44,73
54,47
56,33
59,2,36
60,22,33
63,57
65,19,39
67,69,64
70,35
72,67
73,1
74,54
75,43
77,1
79,57
80,22
82,21
83,42,63
84,13,52
86,21,29
91,49
92,41,34
93,50
96,73
102,20
104,39
106,30,53
107,3
108,70
111,22
112,33
118,54
120,51
122,53,70,55
123,3,42
124,59,70,55
126,57
128,57
130,14
131,42,65
135,42
137,56,52
138,58
139,33
140,64
142,66,62,63
143,1,9
144,55
147,64
148,66
150,63
151,3
152,68
153,3,61,66
156,33,43
157,37
159,24,45
160,24
