warp_points,warp_disp,plate,matches,inliers
30,0,34,575,558
30,1,34,459,431
30,2,34,398,388
30,3,34,378,345
30,4,34,365,253
30,5,34,296,243
30,6,34,279,195
30,7,34,229,135
30,8,34,217,124
30,9,34,240,122
30,10,34,224,121
30,11,34,109,70
30,12,34,158,95
30,13,34,86,36
30,14,34,131,73
30,15,34,116,52
30,16,34,75,33
30,17,34,68,30
30,18,34,81,27
30,19,34,90,41
30,20,34,48,16
30,21,34,119,80
30,22,34,42,23
30,23,34,68,27
30,24,3,31,13
30,25,34,63,43
30,26,34,25,13
30,27,34,44,15
30,28,34,41,15
30,29,34,54,15
